id,내용 번호,내용 제목,생장 높이,생장 유형,최소 온도,최대 온도,생장 액티브,최소 온도,최대 온도,생장 액티브,계절,광 요구도(햇빛),최소 빛,최대 빛,관리 요구도,최소 배치 장소,최대 배치 장소,,물 주기(봄),물 주기(여름),물 주기(가을),물 주기(겨울),겨울 최소 온도,겨울 최대 온도,겨울 최저 온도
0,12938,가울테리아,15,16~20℃,16,20,0,16,20,0,여름,800~10000 Lux,800,10000,1,0,300,,3,3,3,4,,0,0℃ 이하
1,12954,개운죽,90,16~20℃,16,20,1,16,20,1,,300~1500 Lux,300,1500,1,0,500,,2,2,2,3,13,,13℃ 이상
2,12955,골드크레스트 윌마,100,16~20℃,16,20,1,16,20,1,,1500~10000 Lux,1500,10000,2,0,300,,3,3,3,4,10,10,10℃
3,12957,공작야자,300,21~25℃,21,25,1,21,25,1,여름,800~10000 Lux,800,10000,3,0,300,,3,3,3,3,13,,13℃ 이상
4,12962,관엽베고니아,30,16~20℃,16,20,1,16,20,1,봄,800~10000 Lux,800,10000,2,0,300,,3,3,3,3,13,,13℃ 이상
5,12963,관음죽,200,16~20℃,16,20,0,16,20,0,,300~1500 Lux,300,1500,2,0,,,3,3,3,4,5,5,5℃
6,12966,구문초,50,16~20℃,16,20,1,16,20,1,"봄, 여름",800~10000 Lux,800,10000,3,0,300,,3,3,3,4,10,10,10℃
7,12972,구즈마니아,30,21~25℃,21,25,0,21,25,0,"봄, 여름",800~10000 Lux,800,10000,3,0,300,,3,3,3,3,13,,13℃ 이상
8,12974,군자란,50,16~20℃,16,20,0,16,20,0,"봄, 여름",800~10000 Lux,800,10000,2,0,300,,3,3,3,4,10,10,10℃
9,12988,글레코마,10,16~20℃,16,20,1,16,20,1,"봄, 여름",800~10000 Lux,800,10000,1,0,300,,3,3,3,4,5,5,5℃
10,12990,금목서,100,16~20℃,16,20,1,16,20,1,가을,800~10000 Lux,800,10000,1,0,300,,3,3,3,3,,0,0℃ 이하
11,12994,금사철나무,100,16~20℃,16,20,1,16,20,1,,800~10000 Lux,800,10000,2,0,500,,3,3,3,4,,0,0℃ 이하
12,12998,금식나무,100,16~20℃,16,20,0,16,20,0,봄,800~10000 Lux,800,10000,1,0,300,,3,3,3,4,,0,0℃ 이하
13,13186,금전수,60,16~20℃,16,20,0,16,20,0,,800~10000 Lux,800,10000,1,0,500,,3,3,3,4,13,,13℃ 이상
14,13196,금천죽,100,16~20℃,16,20,0,16,20,0,,300~1500 Lux,300,1500,1,0,300,,3,3,3,4,13,,13℃ 이상
15,13199,기누라,30,16~20℃,16,20,1,16,20,1,,800~10000 Lux,800,10000,3,0,300,,3,3,3,4,13,,13℃ 이상
16,13201,꽃베고니아,30,21~25℃,21,25,2,21,25,2,"봄, 여름, 가을",1500~10000 Lux,1500,10000,2,0,300,,2,2,3,4,13,,13℃ 이상
17,13202,나도풍란,10,21~25℃,21,25,0,21,25,0,"봄, 여름",800~1500 Lux,800,1500,3,50,150,,4,4,4,4,7,7,7℃
18,13206,남천,150,16~20℃,16,20,1,16,20,1,"봄, 여름",1500~10000 Lux,1500,10000,1,0,300,,3,3,3,4,5,5,5℃
19,13207,네마탄투스,30,16~20℃,16,20,1,16,20,1,"봄, 여름",800~10000 Lux,800,10000,2,0,300,,3,3,3,4,10,10,10℃
20,13208,네오레겔리아,30,16~20℃,16,20,1,16,20,1,"봄, 여름",800~10000 Lux,800,10000,3,0,300,,3,3,3,3,13,,13℃ 이상
21,13210,녹영,5,16~20℃,16,20,1,16,20,1,,800~10000 Lux,800,10000,3,0,300,,4,4,4,4,13,,13℃ 이상
22,13218,뉴기니아봉선화,30,21~25℃,21,25,1,21,25,1,"봄, 여름, 가을",800~10000 Lux,800,10000,2,0,300,,2,2,3,4,13,,13℃ 이상
23,13333,대만고무나무,200,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,0,500,,3,3,3,4,13,,13℃ 이상
24,13335,더피고사리,30,16~20℃,16,20,0,16,20,0,,800~10000 Lux,800,10000,1,0,500,,2,2,2,3,13,,13℃ 이상
25,13336,덕구리난,100,21~25℃,21,25,0,21,25,0,,1500~10000 Lux,1500,10000,1,0,300,,3,3,3,4,13,,13℃ 이상
26,13337,데코라고무나무,200,21~25℃,21,25,2,21,25,2,,800~10000 Lux,800,10000,3,0,300,,3,3,3,4,13,,13℃ 이상
27,13338,덴파레,50,21~25℃,21,25,0,21,25,0,"봄, 여름, 가을, 겨울",1500~10000 Lux,1500,10000,2,0,300,,4,4,4,4,13,,13℃ 이상
